No,T_MAE,T_MAPE,V_MAE,V_MAPE
1.0,1178.199951171875,74.49172973632812,1312.2762451171875,76.47694396972656
2.0,71.46761322021484,4.498117923736572,137.10025024414062,7.68865442276001
3.0,46.19746017456055,2.8884403705596924,64.08018493652344,3.5550882816314697
4.0,18.494617462158203,1.176127552986145,90.65410614013672,5.013321876525879
5.0,27.438079833984375,1.6905944347381592,91.58302307128906,5.132225036621094
6.0,32.84061813354492,2.077631711959839,83.98001861572266,4.739731788635254
7.0,62.35560989379883,3.972429037094116,82.97954559326172,4.6599202156066895
8.0,50.61067199707031,3.2594571113586426,70.6416015625,3.9385621547698975
9.0,50.382694244384766,3.2291579246520996,68.6859130859375,3.8419349193573
10.0,53.358489990234375,3.3945515155792236,68.10062408447266,3.762986660003662
11.0,56.95237731933594,3.592877149581909,64.02729034423828,3.561805248260498
12.0,56.399173736572266,3.5546875,56.58808135986328,3.176729917526245
13.0,1178.199951171875,74.49172973632812,1312.2762451171875,76.47694396972656
14.0,71.46761322021484,4.498117446899414,137.10037231445312,7.688661098480225
15.0,49.14740753173828,3.0812973976135254,54.94063949584961,3.038095235824585
16.0,1178.199951171875,74.49172973632812,1312.2762451171875,76.47694396972656
17.0,65.00846862792969,4.1696038246154785,58.4908447265625,3.2647268772125244
18.0,43.26081466674805,2.6889193058013916,60.51454544067383,3.410813808441162
19.0,1379.13330078125,87.2458724975586,1513.2095947265625,88.23847198486328
20.0,573.338134765625,36.09846496582031,707.4143676757812,41.071685791015625
21.0,49.19340133666992,3.0738024711608887,68.52330017089844,3.80774188041687
22.0,54.46449661254883,3.428891897201538,95.62688446044922,5.338528156280518
23.0,27.877668380737305,1.7537776231765747,89.29823303222656,5.025022029876709
24.0,26.498388290405273,1.6564315557479858,98.10555267333984,5.569779396057129
25.0,58.72203826904297,3.756417751312256,73.53858947753906,4.1363091468811035
26.0,40.262908935546875,2.5666143894195557,81.57523345947266,4.579653739929199
27.0,36.89834976196289,2.36714243888855,74.11336517333984,4.15539026260376
28.0,49.828731536865234,3.160855770111084,71.4530029296875,3.97652268409729
29.0,40.274410247802734,2.5267508029937744,76.7314453125,4.306580066680908
30.0,43.79715347290039,2.785352945327759,74.01888275146484,4.115627765655518
31.0,1379.13330078125,87.2458724975586,1513.2095947265625,88.23847198486328
32.0,573.6104736328125,36.11574935913086,707.6866455078125,41.087623596191406
33.0,46.985992431640625,3.0056161880493164,62.6810302734375,3.457059144973755
34.0,1379.13330078125,87.2458724975586,1513.2095947265625,88.23847198486328
35.0,51.896949768066406,3.318605899810791,62.67110824584961,3.4663374423980713
36.0,44.38423538208008,2.801393985748291,58.69123077392578,3.249047040939331
37.0,1576.0616455078125,99.74578094482422,1710.1378173828125,99.76556396484375
38.0,1557.9942626953125,98.59896087646484,1692.0704345703125,98.7080078125
39.0,336.00274658203125,21.019336700439453,322.75482177734375,18.61720085144043
40.0,238.31500244140625,14.94430160522461,263.8163146972656,15.15363597869873
41.0,262.0909729003906,16.447622299194336,248.5309600830078,14.206822395324707
42.0,296.6865539550781,18.501728057861328,299.4400939941406,17.196924209594727
43.0,151.48611450195312,9.56393051147461,192.81509399414062,11.1837158203125
44.0,47.765750885009766,3.0347392559051514,92.51030731201172,5.199866771697998
45.0,128.95181274414062,8.140599250793457,191.1842498779297,11.120055198669434
46.0,302.0559387207031,18.858203887939453,280.7146301269531,16.195398330688477
47.0,40.428382873535156,2.5654218196868896,89.5823974609375,5.041552543640137
48.0,44.569297790527344,2.795912981033325,96.1556396484375,5.470772743225098
49.0,1576.0616455078125,99.74578094482422,1710.140625,99.76573944091797
50.0,1558.2774658203125,98.61695098876953,1692.3536376953125,98.72457122802734
51.0,67.2151870727539,4.187673568725586,124.60286712646484,7.099600791931152
52.0,1576.0616455078125,99.74578094482422,1710.1378173828125,99.76556396484375
53.0,40.80310821533203,2.589376926422119,77.54331970214844,4.31360387802124
54.0,49.0370979309082,3.060554027557373,103.63045501708984,5.875241279602051
